日付,ビュー合計,スキ合計,記事数,ビュー/記事,スキ/記事,スキ率(%),ビュー前日比(%),スキ前日比(%),スキ率前日比(%),フォロワー数,更新時刻
2026/03/06,99931,10787,184,543.1,58.62,10.79,0.0,0.0,0.0,922,22:08:58
2026/03/07,100297,10813,184,545.09,58.77,10.78,0.37,0.24,-0.08,924,22:00:11
2026/03/08,100593,10843,184,546.7,58.93,10.78,0.3,0.28,-0.01,927,22:01:17
2026/03/09,101339,10954,185,547.78,59.21,10.81,0.74,1.02,0.27,944,22:17:03
2026/03/10,103279,11297,186,555.26,60.74,10.94,1.91,3.13,1.19,989,22:14:57
2026/03/11,104726,11507,186,563.04,61.87,10.99,1.4,1.86,0.44,1033,22:14:43
2026/03/12,105665,11607,187,565.05,62.07,10.98,0.9,0.87,-0.05,1047,22:14:45
2026/03/13,106583,11714,188,566.93,62.31,10.99,0.87,0.92,0.1,1052,22:12:36
2026/03/14,107241,11828,188,570.43,62.91,11.03,0.62,0.97,0.36,1064,22:05:13
2026/03/15,108208,11927,189,572.53,63.11,11.02,0.9,0.84,-0.07,1068,22:06:00
2026/03/16,109326,12054,190,575.4,63.44,11.03,1.03,1.06,0.05,1076,22:26:19
2026/03/17,110316,12216,190,580.61,64.29,11.07,0.91,1.34,0.4,1090,22:25:07
2026/03/18,111234,12368,191,582.38,64.75,11.12,0.83,1.24,0.44,1105,22:26:30
2026/03/19,111852,12439,191,585.61,65.13,11.12,0.56,0.57,0.01,1110,22:19:07
2026/03/20,112464,12528,192,585.75,65.25,11.14,0.55,0.72,0.18,1118,22:12:38
2026/03/21,113581,12655,193,588.5,65.57,11.14,0.99,1.01,0.02,1126,22:02:15
2026/03/22,114013,12701,193,590.74,65.81,11.14,0.38,0.36,-0.0,1126,22:04:45
2026/03/23,114782,12750,194,591.66,65.72,11.11,0.67,0.39,-0.29,1127,22:21:32
2026/03/24,115656,12855,195,593.11,65.92,11.11,0.76,0.82,0.04,1133,22:25:26
2026/03/25,116253,12934,195,596.17,66.33,11.13,0.52,0.61,0.14,1139,22:24:24
2026/03/26,116480,12965,195,597.33,66.49,11.13,0.2,0.24,0.01,1142,22:42:02
2026/03/27,117160,13029,196,597.76,66.47,11.12,0.58,0.49,-0.08,1145,22:19:34
2026/03/28,117786,13150,196,600.95,67.09,11.16,0.53,0.93,0.4,1153,22:07:59
2026/03/29,118154,13217,196,602.83,67.43,11.19,0.31,0.51,0.24,1164,22:08:43
2026/03/30,118484,13257,196,604.51,67.64,11.19,0.28,0.3,-0.01,1166,22:47:23
2026/03/31,118717,13281,196,605.7,67.76,11.19,0.2,0.18,-0.03,1170,22:46:59
2026/04/01,119159,13336,197,604.87,67.7,11.19,0.37,0.41,0.02,1176,22:48:29
